City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,25.05,78,100,6.4,MU,1733865883
1,tiksi,71.6872,128.8694,-30.98,99,63,1.45,RU,1733865884
2,nueva guinea,11.6876,-84.4562,26.1,85,43,5.44,NI,1733865885
3,blackmans bay,-43.0167,147.3167,14.07,72,91,1.34,AU,1733865886
4,utrik,11.2278,169.8474,27.57,80,100,9.52,MH,1733865887
5,waitangi,-43.9535,-176.5597,16.01,85,77,1.34,NZ,1733865889
6,natal,-5.795,-35.2094,27.12,74,20,6.17,BR,1733865765
7,san luis de la loma,17.2706,-100.8939,28.9,70,4,3.07,MX,1733865891
8,adamstown,-25.066,-130.1015,23.14,78,48,5.98,PN,1733865892
9,jamestown,42.097,-79.2353,7.8,98,100,2.06,US,1733865893
10,yellowknife,62.456,-114.3525,-28.71,76,75,2.57,CA,1733865809
11,hermanus,-34.4187,19.2345,20.45,92,2,2.37,ZA,1733865895
12,la passe,45.5549,-0.8967,5.38,79,100,5.34,FR,1733865897
13,rio grande,-32.035,-52.0986,20.71,73,5,4.39,BR,1733865898
14,ta`u,-14.2336,-169.5144,27.18,78,100,5.67,AS,1733865899
15,ndele,8.4109,20.6473,25.15,24,17,2.6,CF,1733865900
16,merizo village,13.2658,144.6691,26.66,93,87,6.72,GU,1733865901
17,port lincoln,-34.7333,135.8667,15.98,72,5,3.73,AU,1733865902
18,tolanaro,-25.0319,46.9987,24.04,83,40,8.23,MG,1733865903
19,nabire,-3.3667,135.4833,23.89,92,100,1.12,ID,1733865905
20,katsuura,35.1333,140.3,11.38,62,94,4.53,JP,1733865906
21,tromso,69.6496,18.957,0.01,86,75,8.23,NO,1733865907
22,piacabucu,-10.4056,-36.4344,25.89,69,14,5.67,BR,1733865908
23,longyearbyen,78.2186,15.6401,-8.09,79,100,10.29,SJ,1733865675
24,port elizabeth,-33.918,25.5701,19.06,91,0,2.57,ZA,1733865910
25,ishpeming,46.4885,-87.6676,-4.16,82,100,2.24,US,1733865691
26,kailua-kona,19.6406,-155.9956,28.49,63,0,5.14,US,1733865913
27,geraldton,-28.7667,114.6,32.23,48,92,6.69,AU,1733865914
28,tapa,59.2606,25.9586,0.52,91,40,3.91,EE,1733865915
29,edinburgh of the seven seas,-37.0676,-12.3116,14.89,78,62,8.96,SH,1733865916
30,ilulissat,69.2167,-51.1,-7.99,38,0,7.2,GL,1733865919
31,kyren,51.6828,102.1408,-18.88,82,49,0.32,RU,1733865920
32,wailua homesteads,22.0669,-159.378,26.44,82,20,6.69,US,1733865922
33,port-aux-francais,-49.35,70.2167,4.13,69,66,8.89,TF,1733865923
34,iqaluit,63.7506,-68.5145,-13.15,65,75,1.03,CA,1733865925
35,sinabang,2.4803,96.3801,24.61,92,100,3.15,ID,1733865926
36,olonkinbyen,70.9221,-8.7187,-7.11,62,99,8.22,SJ,1733865928
37,grytviken,-54.2811,-36.5092,2.7,63,27,1.06,GS,1733865929
38,bilibino,68.0546,166.4372,-26.55,95,100,1.36,RU,1733865930
39,waingapu,-9.6567,120.2641,25.51,86,100,2.23,ID,1733865931
40,puerto natales,-51.7236,-72.4875,14.25,41,40,5.66,CL,1733865679
41,saipan,15.1355,145.701,26.47,83,20,3.6,MP,1733865933
42,whitehorse,60.7161,-135.0538,-2.57,86,75,4.12,CA,1733865912
43,papatowai,-46.5619,169.4708,10.04,93,95,5.82,NZ,1733865935
44,ushuaia,-54.8,-68.3,10.81,43,0,9.26,AR,1733865937
45,afaahiti,-17.75,-149.2833,25.21,80,100,9.78,PF,1733865939
46,shahin dezh,36.6793,46.5669,2.2,81,26,0.68,IR,1733865940
47,margaret river,-33.95,115.0667,15.18,87,0,3.98,AU,1733865941
48,kulhudhuffushi,6.6221,73.07,27.6,70,31,1.0,MV,1733865942
49,pisco,-13.7,-76.2167,23.03,68,0,10.8,PE,1733865943
50,devonport,-41.1667,146.35,13.62,80,61,0.45,AU,1733865798
51,urucara,-2.5364,-57.76,30.13,61,99,0.32,BR,1733865945
52,dwarka,22.2394,68.9678,21.4,41,15,5.41,IN,1733865947
53,georgetown,5.4112,100.3354,25.96,87,20,1.54,MY,1733865799
54,lobujya,27.95,86.8167,-13.37,17,0,2.17,NP,1733865949
55,altai,46.3722,96.2583,-15.65,94,100,3.46,MN,1733865950
56,maceio,-9.6658,-35.7353,26.69,73,0,5.66,BR,1733865842
57,isafjordur,66.0755,-23.124,-0.73,72,100,1.49,IS,1733865952
58,gwanda,-20.9333,29.0,25.55,34,1,2.77,ZW,1733865953
59,necochea,-38.5473,-58.7368,17.72,74,2,7.84,AR,1733865954
60,albany,42.6001,-73.9662,4.77,90,100,2.24,US,1733865485
61,horta,38.5333,-28.6333,17.23,95,75,5.81,PT,1733865957
62,tual,-5.6667,132.75,28.16,78,90,2.38,ID,1733865958
63,west island,-12.1568,96.8225,26.99,89,75,7.2,CC,1733865959
64,soligalich,59.0778,42.2864,-2.92,95,100,4.81,RU,1733865960
65,callao,-12.0667,-77.15,21.16,73,0,5.14,PE,1733865961
66,atafu village,-8.5421,-172.5159,28.31,71,89,3.79,TK,1733865962
67,napier,-39.4833,176.9167,17.59,57,100,1.26,NZ,1733865963
68,leck,54.7669,8.9785,1.78,87,34,1.33,DE,1733865965
69,mirnyy,62.5353,113.9611,-15.69,90,100,6.06,RU,1733865966
70,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,79,75,2.0,RU,1733865967
71,acajutla,13.5928,-89.8275,29.03,62,0,2.24,SV,1733865906
72,uturoa,-16.7333,-151.4333,26.83,78,100,9.36,PF,1733865970
73,hawaiian paradise park,19.5933,-154.9731,26.04,75,100,2.06,US,1733865971
74,bethel,41.3712,-73.414,5.87,90,100,0.89,US,1733865697
75,cole harbour,44.6724,-63.4751,2.71,95,100,6.17,CA,1733865974
76,daru,-9.0763,143.2092,26.01,90,99,2.75,PG,1733865975
77,bardai,11.65,7.2333,22.34,29,100,4.02,NG,1733865976
78,winnemucca,40.973,-117.7357,4.03,26,9,0.31,US,1733865977
79,esmeraldas,-19.7625,-44.3139,23.55,80,99,1.05,BR,1733865718
80,preobrazheniye,42.9019,133.9064,-6.23,54,0,4.92,RU,1733865979
81,vilyuysk,63.7553,121.6247,-20.56,99,100,1.89,RU,1733865980
82,tazovsky,67.4667,78.7,-11.5,94,100,5.4,RU,1733865699
83,stanley,54.868,-1.6985,4.74,81,75,0.0,GB,1733865983
84,kavaratti,10.5669,72.642,27.56,72,100,3.06,IN,1733865984
85,puerto ayora,-0.7393,-90.3518,23.64,91,91,3.58,EC,1733865985
86,kapoeta,4.7717,33.5903,28.77,34,0,5.49,SS,1733865986
87,port alfred,-33.5906,26.891,19.54,96,95,2.7,ZA,1733865988
88,norman gardens,-23.3224,150.5393,26.29,78,75,1.54,AU,1733865989
89,luganville,-15.5333,167.1667,26.84,88,96,2.36,VU,1733865990
90,klyuchi,52.2667,79.1667,-17.82,86,85,6.77,RU,1733865991
91,xam nua,20.4197,104.0439,14.2,99,81,0.94,LA,1733865992
92,college,64.8569,-147.8028,-2.74,86,75,0.0,US,1733865993
93,pago pago,-14.2781,-170.7025,29.55,74,40,5.14,AS,1733865995
94,puerto lempira,15.2667,-83.7667,29.08,70,75,3.6,HN,1733865996
95,lompoc,34.6391,-120.4579,21.62,41,0,2.57,US,1733865997
96,san fernando de apure,7.8878,-67.4724,33.76,41,17,4.79,VE,1733865924
97,happy valley-goose bay,53.3168,-60.3315,-13.83,78,75,4.63,CA,1733865999
98,sitka,57.0531,-135.33,9.94,57,75,7.72,US,1733866001
99,arenapolis,-14.4503,-56.8461,28.36,64,79,2.19,BR,1733865770
100,kinango,-4.1372,39.3153,22.96,94,23,1.17,KE,1733866004
101,hamilton,39.1834,-84.5333,9.92,94,100,4.02,US,1733865432
102,sao vicente,-23.9631,-46.3919,22.19,94,100,3.58,BR,1733865844
103,sandnessjoen,66.0217,12.6316,4.12,65,40,9.26,NO,1733866007
104,opuwo,-18.0607,13.84,26.38,38,100,3.75,NA,1733866008
105,port saint john's,-31.6229,29.5448,23.25,85,60,0.97,ZA,1733866011
106,invercargill,-46.4,168.35,9.86,90,97,6.91,NZ,1733866012
107,oytal,42.9057,73.2697,-9.7,75,3,2.14,KZ,1733866013
108,thompson,55.7435,-97.8558,-24.91,70,75,4.63,CA,1733865986
109,howard springs,-12.497,131.047,26.01,88,100,2.04,AU,1733866015
110,ancud,-41.8697,-73.8203,14.17,69,100,3.91,CL,1733865803
111,san patricio,28.017,-97.5169,18.97,44,66,10.0,US,1733866017
112,villa ojo de agua,-29.5,-63.6938,28.52,29,38,7.11,AR,1733866019
113,qaqortoq,60.7167,-46.0333,0.68,55,100,8.25,GL,1733866020
114,buta,2.7858,24.73,25.9,43,67,1.05,CD,1733866021
115,lihue,21.9789,-159.3672,26.77,74,20,6.69,US,1733866022
116,val-d'or,48.1002,-77.7828,0.05,100,100,3.09,CA,1733866023
117,tionk essil,12.7856,-16.5217,23.67,46,99,2.94,SN,1733866024
118,haiku-pauwela,20.9219,-156.3051,27.01,64,20,13.41,US,1733866025
119,can,40.0333,27.0524,10.21,91,29,0.53,TR,1733865745
120,grahamstown,-33.3042,26.5328,15.24,88,87,0.41,ZA,1733866027
121,vilyuchinsk,52.9306,158.4028,-5.85,87,100,1.86,RU,1733866030
122,soroti,1.7146,33.6111,22.56,45,4,4.28,UG,1733866031
123,kununurra,-15.7667,128.7333,26.99,94,27,0.51,AU,1733866032
124,papao,-17.75,-149.55,28.82,78,100,10.4,PF,1733866033
125,chulakkurgan,43.765,69.1814,-10.35,82,5,2.08,KZ,1733866034
126,nouadhibou,20.931,-17.0347,18.99,72,0,8.23,MR,1733866035
127,sereflikochisar,38.9393,33.5386,10.31,74,87,3.99,TR,1733866036
128,usogorsk,63.4106,48.6872,-1.65,95,100,4.92,RU,1733866037
129,tot'ma,59.9747,42.7642,-2.38,94,100,4.88,RU,1733866041
130,aykhal,66.0,111.5,-24.43,100,99,2.11,RU,1733866042
131,chinde,26.8212,87.7095,12.61,69,66,2.75,NP,1733866043
132,i-n-salah,27.1935,2.4607,19.77,16,100,1.7,DZ,1733866044
133,punta arenas,-53.15,-70.9167,14.06,26,20,9.26,CL,1733866046
134,tura,25.5198,90.2201,13.13,79,8,1.63,IN,1733866047
135,bredasdorp,-34.5322,20.0403,19.94,81,21,1.9,ZA,1733866048
136,lebyazh'ye,55.2689,66.4947,-9.5,90,81,6.18,RU,1733866049
137,igarka,67.4667,86.5833,-12.77,94,100,7.42,RU,1733866050
138,ola,59.5833,151.2833,-20.76,87,33,5.52,RU,1733866051
139,glace bay,46.1969,-59.957,1.66,77,100,3.6,CA,1733866035
140,rocky mountain house,52.3668,-114.9188,-2.94,80,100,2.06,CA,1733866055
141,watsa,3.0372,29.5355,20.17,65,3,1.12,CD,1733866056
142,kolokani,13.5728,-8.0339,25.25,23,99,2.52,ML,1733866057
143,las terrenas,19.311,-69.5428,26.93,94,75,4.12,DO,1733866058
144,pali,25.7667,73.3333,12.94,37,0,3.53,IN,1733866059
145,arraial do cabo,-22.9661,-42.0278,26.98,74,0,1.54,BR,1733866061
